case,method,true_positive,false_positive,precision,sensitivity,f1,balanced_accuracy,inv_fpr,ldist
ML,AK1,4.4825032728265601E-2,5.0000000000000001E-4,0.99973128953706203,4.4824492674136997E-2,8.5801923893612506E-2,0.52216251636413302,0.99950000000000006,0.60438579088620803
LS,TES,0.99967567567567595,4.5333333333333399E-2,0.99268662524657503,0.99966216672747699,0.99616218472683704,0.97717117117117103,0.954666666666667,5.2885619578054399
LS,PSST,0.99956756756756804,4.3999999999999997E-2,0.99289904291447995,0.99955406008026904,0.99621543724494099,0.97778378378378406,0.95599999999999996,5.4914462418517402
LS,PSM3,0.99932429727024297,7.4680804097507006E-2,0.98801331196125697,0.99931079307033699,0.99362994072308397,0.96232174658636804,0.92531919590249301,5.0722812314551202
LS,EGGER4,0.99112162162162198,0.197583333333333,0.96867199366043699,0.99110822826718603,0.97976168211813897,0.89676914414414399,0.802416666666667,4.16578728823304
LS,EGGER2,0.98863745677717396,8.3394883021475699E-2,0.98649236382233196,0.98862409699207998,0.98755708002280596,0.95262128687784897,0.91660511697852398,4.7824520343831098
LS,EGGER1,0.98695945945945995,8.4833333333333302E-2,0.98623977097793503,0.98694612234969803,0.98659282023571804,0.95106306306306299,0.91516666666666702,4.7381086711781304
LS,BEGG,0.98539189189189202,0.116416666666667,0.98118869168561695,0.98537857596518996,0.98327917043109603,0.93448761261261304,0.88358333333333305,4.7503683673182797
LS,SKEW2,0.98395042062146998,6.4994556461104205E-2,0.989388503567457,0.98393712417384604,0.98665528405983505,0.95947793208018295,0.93500544353889603,4.8696746209137602
LS,EGGER3,0.98350000000000004,8.2000000000000003E-2,0.98664660267881399,0.98348670963905904,0.98506412208573901,0.95074999999999998,0.91800000000000004,4.75788980420639
LS,EK,0.98350000000000004,8.2000000000000003E-2,0.98664660267881399,0.98348670963905904,0.98506412208573901,0.95074999999999998,0.91800000000000004,4.75788980420639
LS,EGGER5,0.98017567567567598,4.7083333333333401E-2,0.99225707602019197,0.98016243023742899,0.98617267165193201,0.96654617117117103,0.95291666666666697,5.0002635208670103
LS,CALI15,0.96490540540540504,2.4250250250250301E-2,0.99592714986021003,0.96489236631937403,0.98016415726281703,0.97032757757757704,0.97574974974975004,5.6900119375930496
LS,CALI20,0.96116216216216199,3.4333333333333299E-2,0.99422692517368105,0.961149173659815,0.977408272639819,0.963414414414414,0.96566666666666701,5.9795349460075
LS,TESS,0.94925675675675703,1E-3,0.99981496769051204,0.94924392913609301,0.97387338051698202,0.97412837837837796,0.999,6.9922587548326502
LS,CALI10,0.94411840218596998,2.3088134430726999E-2,0.99603583637432003,0.94410564400159103,0.96937575353178496,0.960515133877621,0.97691186556927301,5.1804337579217998
